Timestamp,CWND,SSTHRESH,Event
1767350853999,2.00,16,SlowStart
1767350854622,1.00,2,Timeout
1767350855230,1.00,2,Timeout
1767350855231,2.00,2,SlowStart
1767350855231,2.50,2,CongestionAvoidance
1767350855243,2.90,2,CongestionAvoidance
1767350855256,3.24,2,CongestionAvoidance
1767350855276,3.55,2,CongestionAvoidance
1767350855301,3.83,2,CongestionAvoidance
1767350855929,1.00,2,Timeout
1767350855932,2.00,2,SlowStart
1767350855932,2.50,2,CongestionAvoidance
1767350855933,2.90,2,CongestionAvoidance
1767350855941,3.24,2,CongestionAvoidance
1767350855960,3.55,2,CongestionAvoidance
1767350855974,3.83,2,CongestionAvoidance
1767350855991,4.10,2,CongestionAvoidance
1767350856009,4.34,2,CongestionAvoidance
1767350856024,4.57,2,CongestionAvoidance
1767350856040,4.79,2,CongestionAvoidance
1767350856057,5.00,2,CongestionAvoidance
1767350856074,5.20,2,CongestionAvoidance
1767350856090,5.39,2,CongestionAvoidance
1767350856108,5.58,2,CongestionAvoidance
1767350856123,5.75,2,CongestionAvoidance
1767350856142,5.93,2,CongestionAvoidance
1767350856156,6.10,2,CongestionAvoidance
1767350856174,6.26,2,CongestionAvoidance
1767350856191,6.42,2,CongestionAvoidance
1767350856206,6.58,2,CongestionAvoidance
1767350856224,6.73,2,CongestionAvoidance
1767350856243,6.88,2,CongestionAvoidance
1767350856258,7.02,2,CongestionAvoidance
1767350856278,7.17,2,CongestionAvoidance
1767350856292,7.30,2,CongestionAvoidance
1767350856310,7.44,2,CongestionAvoidance
1767350856323,7.58,2,CongestionAvoidance
1767350856341,7.71,2,CongestionAvoidance
1767350856362,7.84,2,CongestionAvoidance
1767350856376,7.97,2,CongestionAvoidance
1767350856391,8.09,2,CongestionAvoidance
1767350856407,8.21,2,CongestionAvoidance
1767350856423,8.34,2,CongestionAvoidance
1767350856442,8.46,2,CongestionAvoidance
1767350856458,8.57,2,CongestionAvoidance
1767350856475,8.69,2,CongestionAvoidance
1767350856489,8.81,2,CongestionAvoidance
1767350856506,8.92,2,CongestionAvoidance
1767350856521,9.03,2,CongestionAvoidance
1767350856541,9.14,2,CongestionAvoidance
1767350856557,9.25,2,CongestionAvoidance
1767350856572,9.36,2,CongestionAvoidance
1767350856592,9.47,2,CongestionAvoidance
1767350856609,9.57,2,CongestionAvoidance
1767350856625,9.68,2,CongestionAvoidance
1767350856641,9.78,2,CongestionAvoidance
1767350856658,9.88,2,CongestionAvoidance
1767350856674,9.98,2,CongestionAvoidance
1767350856691,10.08,2,CongestionAvoidance
1767350856708,10.18,2,CongestionAvoidance
1767350856724,10.28,2,CongestionAvoidance
1767350856739,10.38,2,CongestionAvoidance
1767350856756,10.47,2,CongestionAvoidance
1767350856775,10.57,2,CongestionAvoidance
1767350856789,10.66,2,CongestionAvoidance
1767350856806,10.76,2,CongestionAvoidance
1767350856825,10.85,2,CongestionAvoidance
1767350856842,10.94,2,CongestionAvoidance
1767350856857,11.04,2,CongestionAvoidance
1767350856873,11.13,2,CongestionAvoidance
1767350856891,11.22,2,CongestionAvoidance
1767350856907,11.30,2,CongestionAvoidance
1767350856923,11.39,2,CongestionAvoidance
1767350856942,11.48,2,CongestionAvoidance
1767350856958,11.57,2,CongestionAvoidance
1767350856974,11.65,2,CongestionAvoidance
1767350856991,11.74,2,CongestionAvoidance
1767350857007,11.83,2,CongestionAvoidance
1767350857025,11.91,2,CongestionAvoidance
1767350857042,11.99,2,CongestionAvoidance
1767350857057,12.08,2,CongestionAvoidance
1767350857073,12.16,2,CongestionAvoidance
1767350857091,12.24,2,CongestionAvoidance
